trip_id,driver_id,driver_name,origin,destination,distance_km,pickup_time,delivery_time,actual_delivery_time,status,fuel_cost,driver_pay,maintenance_cost,toll_cost,load_value,profit_margin,vehicle_id,vehicle_type,violation_count,speeding_incidents,gps_start_lat,gps_start_lon,gps_end_lat,gps_end_lon,weather_condition
1,112,Driver_112,New York,Boston,615.26,2025-08-28 08:03:12.970230,2025-09-01 07:03:12.970230,2025-09-01 06:40:12.970230,Delivered,205.54,324.76,82.64,71.01,1292.17,608.22,209,Truck,0,0,29.893102,-91.745548,26.687392,-113.888335,Sunny
2,139,Driver_139,Dallas,Atlanta,2112.03,2025-08-28 20:03:12.970302,2025-09-01 20:03:12.970302,2025-09-01 22:11:12.970302,Delivered,917.13,1050.47,72.57,41.84,4846.48,2764.47,211,Van,3,3,29.475943,-103.372264,33.766738,-98.863483,Cloudy
3,111,Driver_111,Miami,Boston,281.87,2025-08-27 05:03:12.970348,2025-08-28 22:03:12.970348,2025-08-28 21:54:12.970348,Scheduled,76.47,161.41,273.45,67.92,676.83,97.58,208,Van,0,0,25.038389,-74.604847,32.415163,-81.995082,Cloudy
4,113,Driver_113,Seattle,Los Angeles,1362.6,2025-08-28 21:03:12.970392,2025-09-01 03:03:12.970392,2025-09-01 05:22:12.970392,Delivered,580.53,816.53,161.73,71.46,2735.6,1105.35,237,Van,1,1,35.949256,-92.280003,27.23883,-99.362534,Sunny
5,109,Driver_109,Seattle,Denver,410.36,2025-08-28 11:03:12.970434,2025-08-30 11:03:12.970434,2025-08-30 11:51:12.970434,Delivered,192.53,218.25,295.67,55.18,728.79,-32.84,213,Van,0,0,25.305279,-95.553751,34.761454,-76.599042,Rain
6,129,Driver_129,New York,Houston,1929.24,2025-08-28 17:03:12.970483,2025-09-01 11:03:12.970483,2025-09-01 13:46:12.970483,Scheduled,814.43,771.57,69.69,82.69,3422.21,1683.83,227,Van,0,0,26.597911,-78.152422,31.684474,-70.008765,Snow
7,108,Driver_108,Miami,Boston,364.54,2025-08-26 18:03:12.970525,2025-08-30 20:03:12.970525,2025-08-30 21:26:12.970525,In Transit,153.66,191.87,102.0,72.74,556.92,36.65,232,Truck,0,0,30.844412,-82.878322,37.769296,-100.995418,Cloudy
8,109,Driver_109,Miami,Los Angeles,1928.11,2025-08-28 21:03:12.970580,2025-08-30 21:03:12.970580,2025-08-30 21:04:12.970580,In Transit,531.29,896.98,195.32,55.67,4381.28,2702.02,217,18-wheeler,0,0,28.555064,-87.573963,28.13121,-76.162608,Sunny
9,129,Driver_129,Chicago,Denver,1103.59,2025-08-26 21:03:12.970621,2025-08-28 16:03:12.970621,2025-08-28 17:50:12.970621,Delayed,314.14,365.34,90.73,27.21,2324.32,1526.9,241,18-wheeler,1,1,29.736463,-76.004145,36.483393,-107.769586,Snow
10,122,Driver_122,Houston,Los Angeles,1288.11,2025-08-27 17:03:12.970658,2025-08-29 18:03:12.970658,2025-08-29 19:27:12.970658,Delivered,646.86,408.31,177.27,63.41,2652.64,1356.79,248,18-wheeler,0,0,27.783521,-95.265405,27.89701,-88.953527,Snow
11,102,Driver_102,Los Angeles,Atlanta,962.17,2025-08-27 10:03:12.970699,2025-08-28 17:03:12.970699,2025-08-28 18:18:12.970699,Delivered,419.26,513.96,168.04,56.48,1547.04,389.3,221,18-wheeler,0,0,31.771346,-96.854438,33.822145,-80.213356,Rain
12,116,Driver_116,Houston,Atlanta,1732.44,2025-08-28 07:03:12.970732,2025-08-29 07:03:12.970732,2025-08-29 07:47:12.970732,Scheduled,901.14,704.83,269.86,73.06,3311.13,1362.24,213,Van,1,1,39.095574,-85.888933,25.836301,-104.989342,Snow
13,141,Driver_141,Atlanta,Miami,1872.78,2025-08-27 09:03:12.970766,2025-08-28 12:03:12.970766,2025-08-28 14:24:12.970766,Delivered,512.95,1118.4,147.03,22.25,3179.05,1378.42,245,Truck,0,0,30.099386,-116.504886,35.141779,-114.754236,Cloudy
14,141,Driver_141,Boston,Chicago,1528.45,2025-08-27 04:03:12.970802,2025-08-28 07:03:12.970802,2025-08-28 06:50:12.970802,Delivered,405.56,893.61,283.14,63.74,3083.54,1437.49,250,18-wheeler,2,2,27.530952,-80.606897,37.956344,-112.445496,Cloudy
15,136,Driver_136,Boston,New York,2368.09,2025-08-28 19:03:12.970836,2025-08-31 09:03:12.970836,2025-08-31 10:32:12.970836,Scheduled,1193.38,1397.39,144.03,15.4,5252.69,2502.49,204,Truck,0,0,30.757857,-114.188882,38.051094,-86.97654,Cloudy
16,139,Driver_139,Chicago,Dallas,437.45,2025-08-28 02:03:12.970871,2025-09-01 01:03:12.970871,2025-09-01 01:06:12.970871,In Transit,281.65,202.65,108.25,80.07,915.64,243.02,203,Van,0,0,27.411726,-92.46343,26.378129,-96.742201,Cloudy
